Target_genes	Hoxc8|Average	SRX7416178|Embryoid_Bodies	SRX7416179|Embryoid_Bodies	STRING
Cd83	408.0	515	301	0
Arid5b	408.0	695	121	0
Pard3	407.5	580	235	0
Tab1	406.5	400	413	0
Ankrd6	406.5	504	309	0
Myo10	406.0	399	413	0
Greb1	405.5	524	287	0
Gadd45gip1	404.5	474	335	0
Luc7l2	404.0	460	348	0
Klf11	403.5	474	333	0
Prkg1	402.5	478	327	0
Adam9	402.5	601	204	0
Zfp664	401.5	442	361	0
Ntn4	401.5	494	309	0
Ivl	401.5	518	285	0
Iqgap1	401.5	554	249	0
Ccdc92	401.5	442	361	0
Neurod4	401.0	471	331	0
Fam135a	401.0	538	264	0
Pdia5	400.0	488	312	0
Pum1	398.0	517	279	0
Pcnx	397.5	539	256	0
Ccdc182	397.5	564	231	0
Sgk1	397.0	486	308	0
a	395.0	416	374	0
Chd7	395.0	790	0	0
Sema6d	394.5	610	179	0
Ankrd28	394.5	486	303	0
Nkiras2	393.5	557	230	0
Dnajc7	393.5	557	230	0
Bambi	393.5	469	318	0
Rfx3	392.5	567	218	0
Sall3	392.0	544	240	0
Spib	390.5	659	122	0
Slc10a2	390.0	418	362	0
Nkx1-1	390.0	546	234	0
Plcb4	389.5	570	209	0
