Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Zfp202	1203.25	1013	522	1711	1567	0
Fam185a	1200.0	669	678	1444	2009	0
Ccdc146	1200.0	669	678	1444	2009	0
Top1mt	1199.75	655	884	1717	1543	0
Hspbp1	1195.75	813	1637	1217	1116	0
Taf8	1193.0	1131	1335	1104	1202	0
Ccnd3	1193.0	1131	1335	1104	1202	0
Mex3a	1192.75	1186	1357	1103	1125	0
Crebrf	1191.5	893	971	1395	1507	0
Fbxl20	1191.25	1489	1319	895	1062	0
Atp6v1h	1191.0	814	1485	1189	1276	0
Tut1	1190.25	1286	1424	873	1178	0
Pycrl	1190.25	1020	1198	1335	1208	0
Ddx10	1190.25	895	1257	1336	1273	0
Impdh2	1190.0	1137	1433	1019	1171	0
Nmral1	1189.0	488	1151	1494	1623	0
Gpam	1189.0	1227	1446	1085	998	0
Asrgl1	1188.25	1875	2033	357	488	0
Edrf1	1186.75	991	1574	1216	966	0
Cep41	1186.75	1028	955	1387	1377	0
Msantd2	1186.5	1002	1699	871	1174	0
Prdx1	1186.25	819	959	1388	1579	0
Taf1c	1185.25	897	1358	1187	1299	0
Pa2g4	1185.0	666	1214	1266	1594	0
Nceh1	1184.25	999	902	1449	1387	0
Eif4h	1184.25	797	946	1243	1751	0
Nomo1	1182.25	755	752	1792	1430	0
