Target_genes	Chd1|Average	SRX188823|CH12	SRX188825|MEL	STRING
0610009B22Rik	187.0	270	104	0
Zbtb37	186.5	186	187	0
Tmem101	186.5	209	164	0
Adnp	186.5	156	217	0
Raf1	186.0	243	129	0
Snf8	185.5	181	190	0
Nkx3-2	185.5	197	174	0
Gtf3c5	185.5	140	231	0
Tlk1	185.0	241	129	0
Snrnp27	185.0	218	152	0
Orm3	185.0	370	0	0
Lrrc59	185.0	201	169	0
Ddx5	185.0	141	229	0
D16Ertd472e	185.0	214	156	0
Cep95	185.0	141	229	0
Atf4	185.0	206	164	0
Pnn	184.5	88	281	0
Ddx39b	184.5	155	214	0
Tatdn3	184.0	135	233	0
Nsl1	184.0	135	233	0
Fam149b	184.0	144	224	0
Ecd	184.0	144	224	0
Zfp207	183.0	195	171	0
Mynn	183.0	195	171	0
Actrt3	183.0	195	171	0
Taf5	182.5	118	247	0
Ptp4a1	182.5	219	146	0
Pnpla6	182.5	100	265	0
Gnai3	182.5	162	203	0
Atad2	182.5	125	240	0
Slx4ip	182.0	207	157	0
Slc25a39	182.0	108	256	0
Mkks	182.0	207	157	0
Hook2	182.0	243	121	0
H3c3	182.0	129	235	0
H2bc3	182.0	129	235	0
Ermp1	182.0	102	262	0
Usp36	181.5	178	185	0
Rnase2b	181.5	363	0	0
Prpsap2	181.5	232	131	0
Dguok	181.5	177	186	0
Usp5	181.0	234	128	0
Cdca3	181.0	234	128	0
Zfp317	180.5	105	256	0
Scfd1	180.5	229	132	0
Alkbh8	180.5	150	211	0
5730455P16Rik	180.5	195	166	0
Ptprj	180.0	176	184	0
Jpt1	180.0	180	180	0
