Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Ap1m1	112.5	304	146	0	0	0
Puf60	111.75	314	133	0	0	0
Zfp623	111.5	314	132	0	0	0
Eif6	111.5	339	107	0	0	0
Arpc3	111.5	446	0	0	0	0
Aaas	111.5	303	143	0	0	0
Ttc1	111.0	444	0	0	0	0
Sart1	111.0	257	187	0	0	0
Med25	111.0	302	142	0	0	0
Fuz	111.0	302	142	0	0	0
Tmem230	110.75	443	0	0	0	0
Mcm7	110.75	274	169	0	0	0
Ap4m1	110.75	274	169	0	0	0
Ublcp1	110.25	441	0	0	0	0
Rpl6	110.25	297	144	0	0	0
Pdss1	110.0	331	109	0	0	0
Zpr1	109.75	439	0	0	0	0
Apoa5	109.75	439	0	0	0	0
Mdm4	109.5	438	0	0	0	0
Cdk13	109.0	271	165	0	0	0
Wdr27	108.75	322	113	0	0	0
Rchy1	108.75	435	0	0	0	0
Nol6	108.75	338	97	0	0	0
1600012H06Rik	108.75	322	113	0	0	0
Dnajc16	108.25	278	155	0	0	0
Casp9	108.25	278	155	0	0	0
Mtpn	108.0	432	0	0	0	0
Manbal	108.0	432	0	0	0	0
Tuba1a	107.5	343	87	0	0	0
Trmt10a	106.5	297	129	0	0	0
Mttp	106.5	297	129	0	0	0
Krr1	106.5	320	106	0	0	0
Zbtb49	106.25	252	173	0	0	0
Ric8a	106.25	425	0	0	0	0
Lyar	106.25	252	173	0	0	0
Bet1l	106.25	425	0	0	0	0
Atg9b	106.25	305	120	0	0	0
Abcb8	106.25	305	120	0	0	0
Wdr35	106.0	298	126	0	0	0
Dnal4	106.0	291	133	0	0	0
Cdc37	105.75	319	104	0	0	0
Asb6	105.75	423	0	0	0	0
Abcc10	105.75	272	151	0	0	0
Pisd	105.5	422	0	0	0	0
N6amt1	105.25	421	0	0	0	0
Mapk1ip1l	105.25	421	0	0	0	0
Zfp511	104.5	254	164	0	0	0
Tubgcp2	104.5	254	164	0	0	0
Rtel1	104.5	320	98	0	0	0
Impact	104.5	418	0	0	0	0
Ppan	104.25	316	101	0	0	0
Sf3b2	104.0	280	136	0	0	0
Psmb4	104.0	226	190	0	0	0
Gal3st3	104.0	280	136	0	0	0
Uqcrh	103.75	245	170	0	0	0
Scyl3	103.75	415	0	0	0	0
Lrrc41	103.75	245	170	0	0	0
Utp23	103.25	413	0	0	0	0
Mrps16	103.25	413	0	0	0	0
Dnajc9	103.25	413	0	0	0	0
Txn2	103.0	303	109	0	0	0
Pggt1b	103.0	243	169	0	0	0
Tbce	102.5	312	98	0	0	0
Eif4a3	102.5	410	0	0	0	0
Dcun1d5	102.5	298	112	0	0	0
Pld3	102.0	408	0	0	0	0
Nampt	102.0	150	80	178	0	0
Hyal2	102.0	408	0	0	0	0
2310022A10Rik	102.0	408	0	0	0	0
Ogfod1	101.75	288	119	0	0	0
Nudt21	101.75	288	119	0	0	0
Lypla2	101.75	280	127	0	0	0
Aco1	101.75	206	0	201	0	0
Ube2f	101.5	257	149	0	0	0
Tank	101.0	270	134	0	0	0
Smg7	101.0	273	131	0	0	0
Palb2	101.0	293	111	0	0	0
Dctn5	101.0	293	111	0	0	0
Yipf4	100.75	260	143	0	0	0
Prrg2	100.75	334	69	0	0	0
Pcnx3	100.75	285	118	0	0	0
Nosip	100.75	334	69	0	0	0
Map3k11	100.75	285	118	0	0	0
Dohh	100.5	402	0	0	0	0
Rpl26	100.0	278	122	0	0	0
Tssk6	99.75	399	0	0	0	0
Rrn3	99.75	274	125	0	0	0
Ndufa13	99.75	399	0	0	0	0
Flna	99.75	399	0	0	0	0
Rps6	99.25	298	99	0	0	0
Rfng	99.25	397	0	0	0	0
Gps1	99.25	397	0	0	0	0
Tmem138	99.0	396	0	0	0	0
Ptma	99.0	263	133	0	0	0
Cyb561a3	99.0	396	0	0	0	0
Tbc1d22a	98.75	395	0	0	0	0
Snip1	98.75	395	0	0	0	0
Rpl30	98.75	241	154	0	0	0
Psmd7	98.75	275	120	0	0	0
Hgs	98.75	225	170	0	0	0
Elp6	98.75	272	123	0	0	0
Dnali1	98.75	395	0	0	0	0
Arl16	98.75	225	170	0	0	0
Slc25a44	98.5	257	137	0	0	0
Rpl37a	98.5	192	202	0	0	0
Mrps21	98.25	393	0	0	0	0
Fbxw2	98.25	275	118	0	0	0
Ubl5	97.75	391	0	0	0	0
Ube2j2	97.75	391	0	0	0	0
Pyroxd1	97.75	391	0	0	0	0
Idh3b	97.75	391	0	0	0	0
Gabpa	97.75	309	82	0	0	0
Fbxl12	97.75	391	0	0	0	0
Atp5j	97.75	309	82	0	0	0
Serbp1	97.25	273	116	0	0	0
Lamtor3	97.25	389	0	0	0	0
Rps15	97.0	225	163	0	0	0
Apc2	97.0	225	163	0	0	0
Smim40	96.75	259	128	0	0	0
Daxx	96.75	259	128	0	0	0
Tcte3	96.5	316	70	0	0	0
Gm3435	96.5	316	70	0	0	0
Clns1a	96.5	386	0	0	0	0
Snf8	96.25	234	151	0	0	0
Synj2bp	96.0	384	0	0	0	0
Gm20498	96.0	384	0	0	0	0
Wdr37	95.75	383	0	0	0	0
Trappc6b	95.75	285	98	0	0	0
Gm14326	95.75	254	129	0	0	0
Zbtb37	95.5	323	59	0	0	0
9030025P20Rik	95.25	381	0	0	0	0
Zfp113	95.0	224	156	0	0	0
Pianp	94.75	254	125	0	0	0
Atg12	94.75	379	0	0	0	0
Ap3s1	94.75	379	0	0	0	0
Amn1	94.75	283	96	0	0	0
Rhbdd1	94.5	272	106	0	0	0
Esyt2	94.5	214	164	0	0	0
Uggt1	94.25	377	0	0	0	0
Rnf185	94.25	223	154	0	0	0
Zfp119a	94.0	210	166	0	0	0
Gcn1	94.0	376	0	0	0	0
Ppia	93.75	375	0	0	0	0
Ddx55	93.75	282	93	0	0	0
Anapc11	93.75	236	139	0	0	0
Alyref	93.75	236	139	0	0	0
Kctd5	93.5	374	0	0	0	0
Zfp558	93.0	372	0	0	0	0
Poc1b	93.0	230	142	0	0	0
Nop58	93.0	274	98	0	0	0
Mbd3l1	93.0	372	0	0	0	0
Galnt4	93.0	230	142	0	0	0
Spopl	92.75	241	130	0	0	0
Zbtb26	92.5	370	0	0	0	0
Wdr76	92.5	214	156	0	0	0
Stub1	92.5	248	122	0	0	0
Sec61a1	92.5	229	141	0	0	0
Rhbdl1	92.5	248	122	0	0	0
Rabgap1	92.5	370	0	0	0	0
Nub1	92.5	370	0	0	0	0
Mfap1a	92.5	214	156	0	0	0
Jmjd8	92.5	248	122	0	0	0
H2bc4	92.5	281	89	0	0	0
H2ac6	92.5	281	89	0	0	0
Samd10	92.25	369	0	0	0	0
Prpf6	92.25	369	0	0	0	0
Pde12	92.25	369	0	0	0	0
Cenph	92.25	369	0	0	0	0
Rpl11	92.0	368	0	0	0	0
Fbrs	92.0	273	95	0	0	0
Snrpb	91.75	298	69	0	0	0
Prpf3	91.5	366	0	0	0	0
Mon1b	91.5	186	180	0	0	0
H3c15	91.5	366	0	0	0	0
H3c14	91.5	366	0	0	0	0
H2ac19	91.5	366	0	0	0	0
H2ac18	91.5	366	0	0	0	0
Ttll5	91.25	256	0	109	0	0
Shoc2	91.25	246	119	0	0	0
Sdhaf3	91.25	216	149	0	0	0
Erg28	91.25	256	0	109	0	0
Bbip1	91.25	246	119	0	0	0
Yif1b	91.0	364	0	0	0	0
Nab1	90.75	160	0	203	0	0
Lsm1	90.75	222	141	0	0	0
Etf1	90.75	237	126	0	0	0
Cltc	90.75	363	0	0	0	0
Bag4	90.75	222	141	0	0	0
Smim8	90.5	362	0	0	0	0
Zfp202	90.25	361	0	0	0	0
Ift88	90.0	244	116	0	0	0
Ap1b1	90.0	360	0	0	0	0
Ruvbl2	89.75	359	0	0	0	0
Mmut	89.75	359	0	0	0	0
Hmbs	89.75	246	113	0	0	0
Gys1	89.75	359	0	0	0	0
Clta	89.75	359	0	0	0	0
Cenpq	89.75	359	0	0	0	0
Tmem68	89.5	358	0	0	0	0
Tgs1	89.5	358	0	0	0	0
Ociad1	89.5	358	0	0	0	0
Exosc3	89.5	358	0	0	0	0
Crnkl1	89.5	358	0	0	0	0
Cfap61	89.5	358	0	0	0	0
Ccar2	89.5	273	85	0	0	0
Pygo2	89.25	255	102	0	0	0
Senp1	89.0	287	69	0	0	0
Pfkm	89.0	287	69	0	0	0
Mterf1b	89.0	356	0	0	0	0
Gpn2	89.0	356	0	0	0	0
Tprgl	88.5	354	0	0	0	0
Timmdc1	88.5	261	93	0	0	0
Mrps18a	88.5	261	93	0	0	0
Aurkaip1	88.5	229	125	0	0	0
Gnpat	88.25	353	0	0	0	0
2810004N23Rik	88.25	353	0	0	0	0
Ncbp2	88.0	352	0	0	0	0
Eloc	88.0	352	0	0	0	0
0610012G03Rik	88.0	352	0	0	0	0
Tmem186	87.75	226	125	0	0	0
Pmm2	87.75	226	125	0	0	0
Pex16	87.75	239	112	0	0	0
Large2	87.75	239	112	0	0	0
Zbtb6	87.5	350	0	0	0	0
Acsl4	87.5	209	0	141	0	0
Twf2	87.25	349	0	0	0	0
Sub1	87.25	349	0	0	0	0
Ppm1m	87.25	349	0	0	0	0
Zfp112	86.75	347	0	0	0	0
Rpl29	86.75	347	0	0	0	0
Rars2	86.75	347	0	0	0	0
Orc3	86.75	347	0	0	0	0
Immt	86.75	347	0	0	0	0
Hnrnpul1	86.75	252	95	0	0	0
Rpsa	86.5	204	142	0	0	0
Abhd17a	86.5	346	0	0	0	0
Zc3h18	86.25	231	114	0	0	0
Grpel2	86.0	344	0	0	0	0
Usp8	85.75	343	0	0	0	0
