Target_genes	Thra|Average	SRX14934614|Brown_adipose_tissue	SRX150787|C17-2	SRX22612657|MC3T3-E1	STRING
Cdc42	48.333333	145	0	0	0
Actr3	48.333333	145	0	0	0
Ung	48.0	144	0	0	0
Dyrk2	48.0	144	0	0	0
Alkbh2	48.0	144	0	0	0
Zfp607b	47.666667	143	0	0	0
Ormdl3	47.666667	143	0	0	0
Map3k10	47.666667	143	0	0	0
Ctsl	47.666667	143	0	0	0
2010003K11Rik	47.666667	143	0	0	0
Smox	47.333333	142	0	0	0
Zfp469	47.0	0	141	0	0
Trak1	47.0	141	0	0	0
Foxo6	47.0	0	141	0	0
Cavin2	47.0	0	141	0	0
Snai3	46.666667	140	0	0	0
Nradd	46.666667	140	0	0	0
Zcchc24	46.333333	139	0	0	0
Wdr62	46.333333	139	0	0	0
Tex264	46.333333	139	0	0	0
Ninj2	46.333333	0	139	0	0
E2f2	46.333333	139	0	0	0
Dab2	46.333333	0	139	0	0
Cox20	46.333333	139	0	0	0
B3glct	46.333333	139	0	0	0
Gpam	46.0	138	0	0	0
Ttc38	45.666667	137	0	0	0
Prex1	45.666667	137	0	0	0
Bcar1	45.666667	137	0	0	0
Il12rb1	45.333333	0	136	0	0
Fbrsl1	45.333333	136	0	0	0
Ptpa	45.0	135	0	0	0
Pmm1	45.0	135	0	0	0
Ncoa3	45.0	135	0	0	0
Larp1b	45.0	135	0	0	0
Gm4981	45.0	0	0	135	0
Crat	45.0	135	0	0	0
5031439G07Rik	45.0	135	0	0	0
Pik3r1	44.666667	134	0	0	0
Fbxl2	44.666667	134	0	0	0
Dysf	44.666667	134	0	0	0
Chac1	44.666667	134	0	0	0
Aebp1	44.666667	0	134	0	0
Rmi2	44.333333	133	0	0	0
Ppard	44.333333	133	0	0	0
Ehbp1l1	44.333333	0	133	0	0
Ankrd66	44.333333	0	133	0	0
Ang4	44.333333	0	133	0	0
Adamts2	44.333333	133	0	0	0
Sybu	44.0	132	0	0	0
Scarb2	44.0	132	0	0	0
Ptpn4	44.0	132	0	0	0
Dhx8	44.0	132	0	0	0
Cul5	44.0	132	0	0	0
Arvcf	44.0	0	132	0	0
Ulk2	43.666667	131	0	0	0
Tkt	43.666667	131	0	0	0
9230019H11Rik	43.666667	0	0	131	0
Zbp1	43.333333	130	0	0	0
Smarcd3	43.333333	130	0	0	0
Selenow	43.333333	130	0	0	0
Letmd1	43.333333	130	0	0	0
Gdpd5	43.333333	130	0	0	0
Cfl2	43.333333	130	0	0	0
Tpra1	43.0	0	129	0	0
Tm9sf3	43.0	129	0	0	0
Pdxk	43.0	0	129	0	0
Osgin1	43.0	0	129	0	0
Lbp	43.0	0	129	0	0
Dnaja2	43.0	0	129	0	0
Zfp280b	42.666667	128	0	0	0
Ubl4b	42.666667	0	128	0	0
Rnf113a1	42.666667	128	0	0	0
Ppfibp2	42.666667	128	0	0	0
Ppat	42.666667	128	0	0	0
Paics	42.666667	128	0	0	0
Ndufa1	42.666667	128	0	0	0
Gm33989	42.666667	128	0	0	0
Atg10	42.666667	128	0	0	0
Slc2a5	42.333333	127	0	0	0
Tspan17	42.0	126	0	0	0
Proser3	42.0	126	0	0	0
Nrep	42.0	126	0	0	0
Hspb6	42.0	126	0	0	0
Got1	42.0	0	126	0	0
Zfp787	41.666667	125	0	0	0
Tlr5	41.666667	125	0	0	0
Stat6	41.666667	125	0	0	0
Pm20d2	41.666667	125	0	0	0
Itga3	41.333333	0	124	0	0
Usp7	41.0	123	0	0	0
Tgtp1	40.666667	0	122	0	0
Strada	40.666667	122	0	0	0
Cgnl1	40.666667	122	0	0	0
Zc3h12a	40.333333	121	0	0	0
Rhbdf1	40.0	120	0	0	0
Ppp4r1	40.0	120	0	0	0
Il34	40.0	0	120	0	0
Endou	40.0	120	0	0	0
Arhgef12	39.666667	119	0	0	0
Zmym2	39.333333	118	0	0	0
Tspan4	39.333333	0	118	0	0
Rpl15	39.333333	118	0	0	0
Rexo2	39.333333	0	118	0	0
Polr2l	39.333333	0	118	0	0
Plekhg6	39.333333	118	0	0	0
Pgpep1	39.333333	118	0	0	0
Nme3	39.333333	118	0	0	0
Nkiras1	39.333333	118	0	0	0
Mrps34	39.333333	118	0	0	0
Mfsd6	39.333333	0	118	0	0
Metrn	39.333333	0	118	0	0
Lipe	39.333333	118	0	0	0
Gsto2	39.333333	0	118	0	0
Eme2	39.333333	118	0	0	0
Cttnbp2nl	39.333333	0	118	0	0
Ccdc86	39.333333	0	118	0	0
Antkmt	39.333333	0	118	0	0
Tef	39.0	117	0	0	0
Dux	39.0	0	0	117	0
Yipf6	38.666667	116	0	0	0
Wfikkn2	38.666667	116	0	0	0
Spata6	38.666667	116	0	0	0
Zfp592	38.333333	115	0	0	0
Ifih1	38.0	114	0	0	0
Gtf3a	38.0	114	0	0	0
Rev1	37.666667	113	0	0	0
Pyurf	37.666667	113	0	0	0
Lpin1	37.666667	113	0	0	0
Esco1	37.666667	113	0	0	0
Apc2	37.666667	113	0	0	0
Ppp1r14b	37.333333	112	0	0	0
LOC114841036	37.333333	112	0	0	0
Fkbp2	37.333333	112	0	0	0
Btaf1	37.333333	112	0	0	0
Slc4a4	37.0	111	0	0	0
Slc37a4	37.0	111	0	0	0
Pde4a	37.0	111	0	0	0
C1qtnf1	37.0	111	0	0	0
Sh3glb1	36.666667	110	0	0	0
Laptm5	36.666667	110	0	0	0
Kcnk3	36.666667	110	0	0	0
Uap1	36.333333	109	0	0	0
Stard7	36.333333	109	0	0	0
Prps1l3	36.333333	109	0	0	0
Mipol1	36.333333	109	0	0	0
Klk9	36.333333	0	109	0	0
Saa1	36.0	108	0	0	0
Tep1	35.666667	0	107	0	0
Rgmb	35.666667	0	107	0	0
Lrp8	35.666667	0	107	0	0
Col20a1	35.666667	0	107	0	0
Cnnm4	35.666667	0	107	0	0
Brwd3	35.666667	0	107	0	0
Sat1	35.333333	106	0	0	0
Mettl7a1	35.0	105	0	0	0
Krt23	35.0	0	105	0	0
Cdkn1a	35.0	105	0	0	0
Srp72	34.666667	104	0	0	0
Lgals8	34.666667	104	0	0	0
Mtmr4	34.0	102	0	0	0
