Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Gpank1	1422.0	2044	529	2177	938	0
D17H6S53E	1422.0	2044	529	2177	938	0
Csnk2b	1422.0	2044	529	2177	938	0
Zfp384	1421.5	1463	257	2231	1735	0
Mad2l1	1419.75	1482	407	2253	1537	0
Naa35	1419.0	1909	323	2241	1203	0
Usp5	1418.75	1508	279	2043	1845	0
Cdca3	1418.75	1508	279	2043	1845	0
Tmem229b	1418.0	1665	0	2045	1962	0
Prrg2	1417.5	1450	281	2016	1923	0
Nosip	1417.5	1450	281	2016	1923	0
C9orf72	1415.5	1388	256	2222	1796	0
Ankrd33	1415.5	1562	282	2468	1350	0
Snrpd2	1412.75	1539	318	2233	1561	0
Qpctl	1412.75	1539	318	2233	1561	0
Tmem129	1412.25	1439	374	2170	1666	0
Tacc3	1412.25	1439	374	2170	1666	0
Nt5c3	1411.0	1724	408	2046	1466	0
Ppp4c	1409.75	2004	601	1900	1134	0
Prpf38b	1407.25	2042	458	2137	992	0
Gorab	1407.25	1877	211	2064	1477	0
Zfp97	1406.25	1347	250	2343	1685	0
Pop7	1406.25	1580	437	2061	1547	0
Zfp622	1405.25	1796	299	2162	1364	0
Arhgap30	1405.0	1678	236	2336	1370	0
Tubb5	1404.75	1776	359	2262	1222	0
Mdc1	1404.75	1776	359	2262	1222	0
Wdr75	1404.0	1327	335	2106	1848	0
Gm38396	1403.75	1455	260	2218	1682	0
Ficd	1402.75	3300	761	1119	431	0
E230025N22Rik	1402.25	2113	225	2200	1071	0
Clpp	1399.5	1899	398	1997	1304	0
Acsl5	1399.5	1884	295	2028	1391	0
Tbccd1	1397.75	2141	349	1879	1222	0
Dnajb11	1397.75	2141	349	1879	1222	0
Med18	1397.25	1351	260	2210	1768	0
Lrrc61	1395.5	1700	318	2284	1280	0
Sgk1	1395.25	1606	0	2158	1817	0
Acin1	1395.25	1596	246	2059	1680	0
1700123O20Rik	1395.25	1596	246	2059	1680	0
Fcer1g	1393.25	1732	422	1854	1565	0
Btbd19	1390.5	2060	421	1759	1322	0
Pcnx3	1389.0	1770	494	1548	1744	0
Map3k11	1389.0	1770	494	1548	1744	0
Mat2b	1387.0	3385	798	740	625	0
Hps5	1386.75	3025	806	1228	488	0
Gtf2h1	1386.75	3025	806	1228	488	0
Prr14	1386.5	1738	230	1888	1690	0
Ssr3	1386.25	1609	396	2118	1422	0
Gcc2	1385.0	2133	529	1911	967	0
Chordc1	1383.75	1556	395	1944	1640	0
Taf8	1383.0	1514	307	2085	1626	0
Ccnd3	1383.0	1514	307	2085	1626	0
Rpf1	1382.0	1732	354	1997	1445	0
Tssc4	1381.5	1605	294	2267	1360	0
Trmt6	1378.5	3132	1017	1211	154	0
Mcm8	1378.5	3132	1017	1211	154	0
Ube2f	1376.25	1721	281	2040	1463	0
Nrde2	1373.25	1596	280	2263	1354	0
Dph2	1371.25	1477	332	1965	1711	0
Atp6v0b	1371.25	1477	332	1965	1711	0
Mpv17	1369.5	1613	304	2002	1559	0
A130010J15Rik	1368.25	1432	535	2096	1410	0
Gmppa	1367.0	1239	163	2247	1819	0
Arih1	1366.75	2219	482	1918	848	0
Chchd5	1366.0	1458	348	2113	1545	0
Rab11fip5	1365.0	1610	0	1999	1851	0
Otud5	1364.5	1766	323	1970	1399	0
Nabp1	1364.0	1804	482	2274	896	0
Sdccag8	1362.75	1523	250	2051	1627	0
Cldn34d	1362.75	1245	1427	1363	1416	0
Cep170	1362.75	1523	250	2051	1627	0
Zfp273	1361.75	1403	230	2023	1791	0
Cdk11b	1361.5	1619	312	2193	1322	0
Sec23ip	1361.25	1687	440	2175	1143	0
Mcmbp	1361.25	1687	440	2175	1143	0
Phb	1361.0	1359	378	2114	1593	0
Serpini1	1355.0	1701	328	2111	1280	0
Pdcd10	1355.0	1701	328	2111	1280	0
Rab11b	1353.0	1484	273	2315	1340	0
Spata17	1351.75	1800	307	1729	1571	0
Gpatch2	1351.75	1800	307	1729	1571	0
Fancg	1351.75	1657	213	2143	1394	0
