	source	target	weight	p_value
112971	PI3K	EEF1E1	4.6438136	1.9023023e-09
112972	PI3K	SHF	-1.8965925	1.9263753e-09
112973	PI3K	GAB2	-4.638956	2.0029323e-09
112974	PI3K	PYROXD2	-2.705913	2.104581e-09
112975	PI3K	ACTC1	3.6508327	2.1471893e-09
112976	PI3K	CIB2	-1.5081534	2.1621067e-09
112977	PI3K	PRSS33	-3.95276	2.2829072e-09
112978	PI3K	ZCCHC17	3.1020637	2.3134448e-09
112979	PI3K	KRT27	-1.7832929	2.319037e-09
112980	PI3K	LINC01545	-2.011386	2.3313602e-09
112981	PI3K	TDG	3.1636748	2.3560842e-09
112982	PI3K	SERINC3	-3.33278	2.3758957e-09
112983	PI3K	TRPT1	-3.591541	2.4031324e-09
112984	PI3K	CHST6	4.5676928	2.4116131e-09
112985	PI3K	KLKB1	-1.6216824	2.504866e-09
112986	PI3K	HSD17B11	-4.5258975	2.5587952e-09
112987	PI3K	ANKRD52	2.9191008	2.5873275e-09
112988	PI3K	PSMD12	4.0993986	2.5928222e-09
112989	PI3K	ELP2	-2.4208806	2.6055935e-09
112990	PI3K	PFN2	3.300945	2.6622373e-09
112991	PI3K	CEP57	-3.7625809	2.6996534e-09
112992	PI3K	ITLN1	-1.6785008	2.72737e-09
112993	PI3K	CRISPLD2	3.6844974	2.7583174e-09
112994	PI3K	ST3GAL6	-3.6986673	2.8035263e-09
112995	PI3K	ZFP90	-3.9868248	2.8070621e-09
112996	PI3K	THBS3	-4.5464168	2.89169e-09
112997	PI3K	CCDC159	-2.2925322	2.8965876e-09
112998	PI3K	RAB40B	-2.6346009	2.9126315e-09
112999	PI3K	FCSK	-2.7665465	2.9592646e-09
113000	PI3K	MAN2B1	-3.1625006	2.9777742e-09
113001	PI3K	STARD9	-3.0704627	3.1052336e-09
113002	PI3K	KIF6	-1.1950479	3.1122633e-09
113003	PI3K	ASCC1	2.5962644	3.1270493e-09
113004	PI3K	C16orf86	-2.0487564	3.174657e-09
113005	PI3K	C1orf54	-4.0916877	3.2719139e-09
113006	PI3K	MPPE1	-2.834439	3.461645e-09
113007	PI3K	LEG1	2.6139736	3.4873677e-09
113008	PI3K	CDC42EP1	3.6809354	3.5589813e-09
113009	PI3K	PLEKHG4	-3.8749866	3.6877328e-09
113010	PI3K	SH3BGRL3	4.1622133	3.7646095e-09
113011	PI3K	EZH1	-2.4689858	3.8761527e-09
113012	PI3K	GRTP1	-2.1531544	4.4865422e-09
113013	PI3K	DPYSL3	2.9144166	4.532488e-09
113014	PI3K	ABCG2	3.8597255	4.569875e-09
113015	PI3K	PFN4	-1.5301067	4.57219e-09
113016	PI3K	PGGHG	-1.8925447	4.5973674e-09
113017	PI3K	UBE2G1	3.0953581	4.6321444e-09
113018	PI3K	HSPA4L	4.903107	4.6570423e-09
113019	PI3K	CPVL	-4.580976	4.916497e-09
113020	PI3K	RAB23	3.9169943	4.9855107e-09
113021	PI3K	CNN3	4.0603704	5.1719025e-09
113022	PI3K	WASL	-2.1303058	5.258589e-09
113023	PI3K	NICN1	-3.6342213	5.2835487e-09
113024	PI3K	GSDMD	-2.9887948	5.3760076e-09
113025	PI3K	WASF2	-3.1215084	5.391462e-09
113026	PI3K	NCS1	3.1549249	5.5637175e-09
113027	PI3K	HOXB4	2.0992072	5.6454765e-09
