Target_genes	Patz1|Average	SRX20088451|ES_cells	SRX20088452|ES_cells	SRX20088453|ES_cells	SRX20088454|ES_cells	STRING
Abi2	150.750000	300	303	0	0	0
Fbxl19	150.500000	364	238	0	0	0
D830031N03Rik	150.500000	286	316	0	0	0
Kmt5b	150.250000	307	294	0	0	0
Zbtb7b	150.000000	277	323	0	0	0
Maz	150.000000	285	315	0	0	0
Fem1b	150.000000	313	287	0	0	0
Ddb2	150.000000	302	298	0	0	0
Dcaf5	150.000000	310	290	0	0	0
Mat2a	149.750000	351	248	0	0	0
Ube2r2	148.750000	380	215	0	0	0
Slc10a7	148.750000	342	253	0	0	0
Rbmxl1	148.750000	342	253	0	0	0
Cic	148.750000	339	256	0	0	0
Cabp1	148.750000	258	337	0	0	0
Ten1	148.500000	431	163	0	0	0
Prkcg	148.500000	262	332	0	0	0
Ilf3	148.500000	247	347	0	0	0
Acox1	148.500000	431	163	0	0	0
Eif1b	148.000000	301	291	0	0	0
Ube2n	147.750000	202	389	0	0	0
Cdk2ap1	147.750000	303	288	0	0	0
Gm20346	147.500000	316	274	0	0	0
Anp32a	147.500000	316	274	0	0	0
Kif26a	146.750000	324	263	0	0	0
Sfr1	146.250000	286	299	0	0	0
Bptf	146.250000	307	278	0	0	0
Stk35	146.000000	288	296	0	0	0
Eif3d	146.000000	240	344	0	0	0
Akap12	145.750000	248	335	0	0	0
Tfap2c	145.000000	290	290	0	0	0
Hspb7	145.000000	264	316	0	0	0
Pym1	144.750000	371	208	0	0	0
Ndufs3	144.750000	325	254	0	0	0
Kbtbd4	144.750000	325	254	0	0	0
Grsf1	144.750000	217	362	0	0	0
Dgka	144.750000	371	208	0	0	0
Zfp788	144.250000	337	240	0	0	0
Zfp668	144.250000	288	289	0	0	0
Zfp646	144.250000	288	289	0	0	0
Cd55	144.250000	301	276	0	0	0
Ccnc	144.250000	255	322	0	0	0
Tcf25	143.500000	295	279	0	0	0
Ncam1	143.250000	229	344	0	0	0
Mdk	143.000000	330	242	0	0	0
Socs7	142.750000	291	280	0	0	0
Zdbf2	142.500000	256	314	0	0	0
Timm17b	142.500000	333	237	0	0	0
Slc6a16	142.500000	241	329	0	0	0
Pqbp1	142.500000	333	237	0	0	0
Cd37	142.500000	241	329	0	0	0
Abca3	142.500000	319	251	0	0	0
Abca17	142.500000	319	251	0	0	0
Yars	142.250000	246	323	0	0	0
Triap1	142.250000	391	178	0	0	0
S100pbp	142.250000	246	323	0	0	0
Notch3	142.250000	320	249	0	0	0
Nfe2l2	142.250000	330	239	0	0	0
Gnai2	142.250000	317	252	0	0	0
Gatc	142.250000	391	178	0	0	0
Ass1	142.250000	186	383	0	0	0
Zcwpw1	142.000000	323	245	0	0	0
Tmem139	142.000000	250	318	0	0	0
Mepce	142.000000	323	245	0	0	0
Casp2	142.000000	250	318	0	0	0
Spindoc	141.750000	184	383	0	0	0
Prr7	141.750000	259	308	0	0	0
Sp1	141.500000	335	231	0	0	0
Nob1	141.500000	231	335	0	0	0
Klf3	141.500000	176	390	0	0	0
Acbd6	141.500000	327	239	0	0	0
Syne1	141.250000	322	243	0	0	0
Gcnt2	141.250000	323	242	0	0	0
Car2	141.250000	262	303	0	0	0
Marcks	141.000000	386	178	0	0	0
Wdr25	140.750000	203	360	0	0	0
Wars	140.750000	203	360	0	0	0
Prdm10	140.750000	271	292	0	0	0
Camkv	140.750000	364	199	0	0	0
Tenm4	140.500000	321	241	0	0	0
Fam122a	140.500000	283	279	0	0	0
E2f7	140.500000	208	354	0	0	0
Tnrc6a	140.250000	215	346	0	0	0
Nr5a2	140.250000	249	312	0	0	0
Gnb2	140.250000	227	334	0	0	0
Bub3	140.250000	414	147	0	0	0
Urgcp	140.000000	273	287	0	0	0
Rbm10	140.000000	333	227	0	0	0
Ppat	140.000000	215	345	0	0	0
Paics	140.000000	215	345	0	0	0
Ndufb11	140.000000	333	227	0	0	0
Dnah2	140.000000	244	316	0	0	0
Secisbp2l	139.750000	294	265	0	0	0
Gga1	139.750000	181	378	0	0	0
Clcn4	139.750000	310	249	0	0	0
Arsb	139.750000	297	262	0	0	0
Zfr	139.500000	303	255	0	0	0
Uqcrh	139.500000	277	281	0	0	0
Slc48a1	139.500000	140	418	0	0	0
Lrrc41	139.500000	277	281	0	0	0
Tle5	139.250000	226	331	0	0	0
Cltc	139.250000	221	336	0	0	0
Rgl1	139.000000	163	393	0	0	0
Arpc5	139.000000	163	393	0	0	0
Tbc1d8b	138.250000	238	315	0	0	0
Lrfn4	138.250000	219	334	0	0	0
Icam5	138.250000	376	177	0	0	0
Icam4	138.250000	376	177	0	0	0
Leprotl1	137.750000	283	268	0	0	0
Rarg	137.250000	331	218	0	0	0
Il12rb1	137.250000	375	174	0	0	0
Homer3	137.000000	199	349	0	0	0
Coa4	137.000000	208	340	0	0	0
Gnpat	136.750000	271	276	0	0	0
Elk4	136.750000	210	337	0	0	0
2810004N23Rik	136.750000	271	276	0	0	0
Ube2q1	136.500000	177	369	0	0	0
Slc35e2	136.250000	250	295	0	0	0
Ccdc107	136.000000	372	172	0	0	0
Tnpo1	135.750000	203	340	0	0	0
Lgi2	135.750000	346	197	0	0	0
Fndc3a	135.750000	312	231	0	0	0
Elovl2	135.750000	171	372	0	0	0
Usp42	135.500000	181	361	0	0	0
Srf	135.500000	241	301	0	0	0
Trib2	135.250000	250	291	0	0	0
Smarcd1	135.250000	171	370	0	0	0
Jade2	135.250000	276	265	0	0	0
Mt2	135.000000	238	302	0	0	0
Fbxo6	135.000000	404	136	0	0	0
Sulf1	134.750000	262	277	0	0	0
Qser1	134.750000	0	539	0	0	0
Msra	134.750000	260	279	0	0	0
L3mbtl1	134.750000	397	142	0	0	0
Ubald2	134.500000	325	213	0	0	0
Smchd1	134.000000	351	185	0	0	0
Phf19	133.750000	352	183	0	0	0
Ube3b	133.500000	301	233	0	0	0
Kctd10	133.500000	301	233	0	0	0
Upp2	133.000000	215	317	0	0	0
