Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Csnk1g2	719.750000	498	0	236	2145	0
Tarbp2	717.500000	421	158	341	1950	0
Slc35d1	717.500000	738	518	648	966	0
Map3k12	717.500000	421	158	341	1950	0
Gpd1l	716.250000	813	480	537	1035	0
Paip2	715.750000	1190	591	248	834	0
Hnrnpa2b1	715.500000	529	221	201	1911	0
Cbx3	715.500000	529	221	201	1911	0
Dpp9	714.750000	910	368	539	1042	0
Abcf3	714.500000	347	218	388	1905	0
Ndufaf4	714.000000	568	765	576	947	0
Chdh	714.000000	998	587	406	865	0
Mpc2	713.500000	591	0	271	1992	0
Dcaf6	713.500000	591	0	271	1992	0
Srcap	710.250000	832	742	372	895	0
Chac1	710.250000	568	202	362	1709	0
Serpina10	709.750000	912	528	461	938	0
Acot4	709.500000	932	916	369	621	0
Ubl5	709.250000	468	360	459	1550	0
Fbxl12	709.250000	468	360	459	1550	0
F10	709.000000	651	479	571	1135	0
Adipor1	708.250000	791	535	430	1077	0
Pxk	707.500000	906	586	499	839	0
Acot3	707.250000	690	700	438	1001	0
Scaf1	707.000000	692	518	528	1090	0
Rras	707.000000	692	518	528	1090	0
Esrra	707.000000	524	304	223	1777	0
Catsperz	707.000000	524	304	223	1777	0
Angptl8	707.000000	523	244	241	1820	0
Gp5	705.500000	610	571	506	1135	0
Plin1	704.500000	594	407	369	1448	0
Tnfaip1	703.000000	862	447	392	1111	0
Ift20	703.000000	862	447	392	1111	0
1810055G02Rik	702.750000	582	525	469	1235	0
Exd1	699.500000	718	587	387	1106	0
Chp1	699.500000	718	587	387	1106	0
Pemt	699.000000	817	277	307	1395	0
Pnp2	698.750000	833	420	480	1062	0
Scaf11	697.500000	685	483	506	1116	0
Efcab2	697.000000	478	0	156	2154	0
Edn1	696.750000	625	603	479	1080	0
Cd302	695.250000	908	650	363	860	0
Zfp788	695.000000	349	372	392	1667	0
Abcc3	694.500000	898	582	373	925	0
Pnp	692.750000	623	434	520	1194	0
Wwtr1	692.000000	399	238	268	1863	0
Adcy2	689.750000	645	562	507	1045	0
Ncoa4	689.500000	932	652	373	801	0
Xrcc6	688.750000	395	152	214	1994	0
Desi1	688.750000	395	152	214	1994	0
Fam20b	688.500000	789	580	521	864	0
Iigp1	687.500000	831	679	326	914	0
Tmem52b	687.000000	639	513	455	1141	0
Olr1	687.000000	639	513	455	1141	0
Gpam	684.000000	750	531	445	1010	0
Rnf39	683.500000	675	400	458	1201	0
Car14	683.250000	682	403	514	1134	0
Mrpl11	681.000000	879	461	442	942	0
Ugdh	680.500000	886	516	328	992	0
Eif3a	680.000000	906	351	385	1078	0
Sft2d2	679.250000	803	582	373	959	0
Fggy	678.750000	641	473	482	1119	0
H3c7	677.250000	882	488	413	926	0
H2bc9	677.250000	882	488	413	926	0
Tomm70a	676.250000	760	375	575	995	0
Anks4b	676.000000	631	473	497	1103	0
Slc17a3	675.750000	660	725	384	934	0
Fam83f	674.000000	686	325	542	1143	0
