Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Ctnnb1	186.111111	0	0	0	0	1020	655	0	0	0	0
Maz	185.777778	0	0	0	0	696	551	293	132	0	0
Fbxl3	185.000000	0	0	0	0	954	711	0	0	0	0
Pds5a	184.666667	0	0	0	0	853	600	209	0	0	0
Get4	184.444444	0	0	0	0	831	694	135	0	0	0
Slc39a10	184.111111	0	0	0	0	1293	364	0	0	0	0
Sirt1	184.000000	0	0	0	0	811	845	0	0	0	0
Irf2bp1	183.888889	0	0	0	0	229	202	1224	0	0	0
Sbk1	183.666667	0	0	0	0	1176	477	0	0	0	0
Prrc2a	183.333333	0	0	0	0	963	687	0	0	0	0
Rps3a1	183.000000	0	0	0	0	829	657	161	0	0	0
Srsf2	182.888889	0	0	0	0	873	773	0	0	0	0
Mfsd11	182.888889	0	0	0	0	873	773	0	0	0	0
Tubb5	182.444444	0	0	0	0	0	0	1163	479	0	0
Mdc1	182.444444	0	0	0	0	0	0	1163	479	0	0
H3c3	182.000000	0	0	0	0	677	363	598	0	0	0
H2bc3	182.000000	0	0	0	0	677	363	598	0	0	0
Pim1	181.444444	0	0	0	78	631	355	222	347	0	0
Gtf2a1	181.111111	0	0	0	0	799	598	233	0	0	0
Srsf10	181.000000	0	0	0	0	883	453	293	0	0	0
Tmem230	180.555556	0	0	0	0	0	0	1135	490	0	0
Pcna	180.555556	0	0	0	0	0	0	1135	490	0	0
Ppil1	180.444444	0	0	0	0	307	0	1157	160	0	0
BC004004	180.444444	0	0	0	0	307	0	1157	160	0	0
H3c6	180.111111	0	0	0	0	1051	570	0	0	0	0
Ncapg2	179.666667	0	106	0	170	0	0	985	356	0	0
Morc3	178.333333	0	0	0	0	584	448	573	0	0	0
Manf	178.000000	0	0	0	0	810	640	152	0	0	0
Zzz3	177.555556	0	0	0	0	1116	482	0	0	0	0
Ube2d3	177.444444	0	0	0	0	830	767	0	0	0	0
Caprin1	177.444444	0	0	0	0	1063	534	0	0	0	0
Asmt	177.111111	257	249	453	323	0	0	312	0	0	0
Sft2d3	176.444444	0	0	0	0	945	643	0	0	0	0
Tmsb10	176.000000	0	0	0	0	915	669	0	0	0	0
Ptp4a1	176.000000	0	0	0	0	1076	508	0	0	0	0
Rnf168	175.555556	0	0	0	0	0	0	1412	168	0	0
Kri1	174.777778	0	0	0	0	0	0	1249	324	0	0
Cdkn2d	174.777778	0	0	0	0	0	0	1249	324	0	0
