Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Swap70	237.000000	474	0	0
Zfp473	236.500000	327	146	0
Vrk3	236.500000	327	146	0
Tra2a	236.500000	0	473	0
Lasp1	236.500000	247	226	0
Sde2	236.000000	252	220	0
Drg2	236.000000	472	0	0
Spg20	235.500000	471	0	0
Mrtfb	235.500000	471	0	0
Gpaa1	235.500000	471	0	0
Exosc4	235.500000	471	0	0
Acox3	235.000000	366	104	0
Gpn3	234.000000	468	0	0
Fam216a	234.000000	468	0	0
Slit3	233.500000	467	0	0
Zfp953	233.000000	466	0	0
Ugt1a7c	233.000000	466	0	0
Gstp2	233.000000	349	117	0
Hsd11b1	232.500000	253	212	0
BC031181	232.500000	217	248	0
Slc30a4	232.000000	464	0	0
Ptcd1	232.000000	464	0	0
Polr2h	232.000000	464	0	0
Hnrnph2	232.000000	308	156	0
Gla	232.000000	308	156	0
Cpsf4	232.000000	464	0	0
Clcn2	232.000000	464	0	0
Vps50	231.500000	463	0	0
Tcim	231.500000	286	177	0
Hepacam2	231.500000	463	0	0
Atp6v0e	231.500000	304	159	0
Stom	231.000000	462	0	0
Rsl1d1	230.500000	268	193	0
Abcf3	230.500000	461	0	0
