Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Cyth1	386.333333	597	562	0	0
Zfp750	386.000000	580	578	0	0
Sgk3	386.000000	852	306	0	0
Bin1	386.000000	645	513	0	0
Itgb5	385.666667	743	414	0	0
9130019O22Rik	385.666667	560	597	0	0
Slc26a10	385.333333	536	620	0	0
Gsta1	385.333333	597	559	0	0
Ebp	385.333333	863	293	0	0
Deup1	385.333333	731	425	0	0
Cldn19	385.333333	604	552	0	0
BC034090	385.333333	563	593	0	0
Kit	385.000000	654	501	0	0
Ern1	385.000000	529	626	0	0
Ccdc38	385.000000	671	484	0	0
C1rl	385.000000	455	700	0	0
Amdhd1	385.000000	671	484	0	0
Jun	384.666667	478	676	0	0
Gsx1	384.333333	589	564	0	0
Zfp719	383.666667	642	509	0	0
Ywhae	383.666667	787	364	0	0
Tulp2	383.666667	535	616	0	0
Prkrip1	383.666667	513	638	0	0
Noct	383.666667	786	365	0	0
Elavl2	383.666667	804	347	0	0
Dsel	383.666667	689	462	0	0
Begain	383.666667	617	534	0	0
Ints6	383.333333	690	460	0	0
Ephb3	383.000000	628	521	0	0
Zfp661	382.333333	630	517	0	0
Rasl10a	382.333333	670	477	0	0
Gal3st4	382.333333	552	595	0	0
Eva1b	382.333333	617	530	0	0
Bard1	382.333333	687	460	0	0
Uaca	382.000000	594	552	0	0
Stra8	382.000000	582	564	0	0
Leap2	382.000000	551	595	0	0
Whamm	381.666667	604	541	0	0
Setx	381.333333	708	436	0	0
Sct	381.333333	608	536	0	0
Nsun4	381.333333	703	441	0	0
Htatip2	381.333333	916	228	0	0
Myo6	380.666667	845	297	0	0
Ap1s1	380.666667	691	451	0	0
Ubr4	380.333333	628	513	0	0
Rab20	380.333333	407	734	0	0
N4bp2	380.333333	818	323	0	0
Map3k14	380.333333	462	679	0	0
Ccnl2	380.333333	661	480	0	0
Zfp62	380.000000	372	768	0	0
