Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Mtpn	108.000000	432	0	0	0	0
Manbal	108.000000	432	0	0	0	0
Tuba1a	107.500000	343	87	0	0	0
Trmt10a	106.500000	297	129	0	0	0
Mttp	106.500000	297	129	0	0	0
Krr1	106.500000	320	106	0	0	0
Zbtb49	106.250000	252	173	0	0	0
Ric8a	106.250000	425	0	0	0	0
Lyar	106.250000	252	173	0	0	0
Bet1l	106.250000	425	0	0	0	0
Atg9b	106.250000	305	120	0	0	0
Abcb8	106.250000	305	120	0	0	0
Wdr35	106.000000	298	126	0	0	0
Dnal4	106.000000	291	133	0	0	0
Cdc37	105.750000	319	104	0	0	0
Asb6	105.750000	423	0	0	0	0
Abcc10	105.750000	272	151	0	0	0
Pisd	105.500000	422	0	0	0	0
N6amt1	105.250000	421	0	0	0	0
Mapk1ip1l	105.250000	421	0	0	0	0
Zfp511	104.500000	254	164	0	0	0
Tubgcp2	104.500000	254	164	0	0	0
Rtel1	104.500000	320	98	0	0	0
Impact	104.500000	418	0	0	0	0
Ppan	104.250000	316	101	0	0	0
Sf3b2	104.000000	280	136	0	0	0
Psmb4	104.000000	226	190	0	0	0
Gal3st3	104.000000	280	136	0	0	0
Uqcrh	103.750000	245	170	0	0	0
Scyl3	103.750000	415	0	0	0	0
Lrrc41	103.750000	245	170	0	0	0
Utp23	103.250000	413	0	0	0	0
Mrps16	103.250000	413	0	0	0	0
Dnajc9	103.250000	413	0	0	0	0
Txn2	103.000000	303	109	0	0	0
Pggt1b	103.000000	243	169	0	0	0
Tbce	102.500000	312	98	0	0	0
Eif4a3	102.500000	410	0	0	0	0
Dcun1d5	102.500000	298	112	0	0	0
Pld3	102.000000	408	0	0	0	0
Nampt	102.000000	150	80	178	0	0
Hyal2	102.000000	408	0	0	0	0
2310022A10Rik	102.000000	408	0	0	0	0
Ogfod1	101.750000	288	119	0	0	0
Nudt21	101.750000	288	119	0	0	0
Lypla2	101.750000	280	127	0	0	0
Aco1	101.750000	206	0	201	0	0
Ube2f	101.500000	257	149	0	0	0
Tank	101.000000	270	134	0	0	0
Smg7	101.000000	273	131	0	0	0
Palb2	101.000000	293	111	0	0	0
Dctn5	101.000000	293	111	0	0	0
Yipf4	100.750000	260	143	0	0	0
Prrg2	100.750000	334	69	0	0	0
Pcnx3	100.750000	285	118	0	0	0
Nosip	100.750000	334	69	0	0	0
Map3k11	100.750000	285	118	0	0	0
Dohh	100.500000	402	0	0	0	0
Rpl26	100.000000	278	122	0	0	0
Tssk6	99.750000	399	0	0	0	0
Rrn3	99.750000	274	125	0	0	0
Ndufa13	99.750000	399	0	0	0	0
Flna	99.750000	399	0	0	0	0
